BlockNum,prefetch,merge
14399446,87359,14532
14399447,99115,15142
14399448,76281,13254
14399449,26156,5609
14399450,48043,8914
14399451,20310,2745
14399452,47824,8509
14399453,89450,15958
14399454,61085,9675
14399455,40434,6345
14399456,88512,14608
14399457,110821,19059
14399458,101766,16317
14399459,47366,7025
14399460,60526,10411
14399461,25849,3362
14399462,14404,2598
14399463,109332,14636
14399464,107193,14354
14399465,45317,5050
14399466,81175,10903
14399467,51958,8053
14399468,43538,6188
14399469,63389,9072
14399470,7330,1711
14399471,11818,1692
14399472,81618,10364
14399473,80848,11880
14399474,77488,11701
14399475,92620,12744
14399476,77759,12188
14399477,57951,8352
14399478,65473,7513
14399479,36238,5429
14399480,78774,9373
14399481,37013,4856
14399482,78331,9911
14399483,73727,8813
14399484,35614,5245
14399485,22421,3054
14399486,117547,13226
14399487,16916,2241
14399488,120558,14016
14399489,52014,6276
14399490,5531,959
14399491,106422,6630
14399492,55087,7453
14399493,61904,6154
14399494,153677,15679
14399495,143008,15023
14399496,57190,5251
14399497,57768,7179
14399498,5749,922
14399499,105018,11412
14399500,109915,10838
14399501,61726,3142
14399502,61358,6270
14399503,14417,1636
14399504,129066,10880
14399505,67049,8213
14399506,167038,16361
14399507,98631,8823
14399508,45102,5161
14399509,68528,7359
14399510,45812,5495
14399511,16606,1574
14399512,160793,15601
14399513,143230,24301
14399514,9184,820
14399515,106800,11650
14399516,26942,5139
14399517,11560,1284
14399518,151574,12253
14399519,120027,11191
14399520,147956,15930
14399521,158506,12769
14399522,66301,7738
14399523,21449,2126
14399524,136609,21360
14399525,25448,3406
14399526,146073,16046
14399527,138951,12987
14399528,70114,8063
14399529,82598,7137
14399530,42980,4602
14399531,10831,1271
14399532,57393,4652
14399533,8860,922
14399534,34108,2959
14399535,221595,13203
14399536,114370,12144
14399537,15608,1921
14399538,223021,16501
14399539,0,0
14399540,64069,6278
14399541,105407,8779
14399542,101701,7512
14399543,74171,7913
14399544,187391,15632
14399545,184190,12962
