BlockNum,prefetch,merge
14399446,2790,8724
14399447,2433,4486
14399448,2760,11175
14399449,875,1558
14399450,1567,4612
14399451,720,1663
14399452,1268,2153
14399453,2539,7809
14399454,2288,6075
14399455,1155,4234
14399456,3398,7012
14399457,3469,9478
14399458,3495,8738
14399459,1853,4159
14399460,1831,4003
14399461,1070,3310
14399462,423,822
14399463,2295,5452
14399464,2667,9338
14399465,951,2003
14399466,1694,4378
14399467,1268,5039
14399468,1429,4445
14399469,2914,5915
14399470,251,352
14399471,307,604
14399472,2340,6872
14399473,2678,7033
14399474,2693,4826
14399475,3547,8466
14399476,2610,8274
14399477,1772,8295
14399478,2114,5163
14399479,972,3641
14399480,1636,5384
14399481,1027,3112
14399482,2464,5914
14399483,2144,4922
14399484,898,2669
14399485,930,2563
14399486,2323,6538
14399487,367,1036
14399488,2536,8055
14399489,1232,3753
14399490,208,269
14399491,1448,1034
14399492,1326,3017
14399493,876,2722
14399494,4057,8852
14399495,3388,10022
14399496,1082,2703
14399497,763,2027
14399498,178,165
14399499,1886,5185
14399500,2014,5418
14399501,545,1362
14399502,1071,2107
14399503,304,801
14399504,1520,3749
14399505,1401,3913
14399506,3615,13919
14399507,2101,5188
14399508,790,1553
14399509,1229,5549
14399510,1249,3136
14399511,339,892
14399512,2383,6451
14399513,3436,8335
14399514,189,292
14399515,2110,7614
14399516,392,1202
14399517,294,505
14399518,2861,4398
14399519,1440,3481
14399520,2588,7582
14399521,2031,7808
14399522,972,3522
14399523,563,1508
14399524,1688,5253
14399525,340,891
14399526,2551,6364
14399527,2151,5741
14399528,743,1539
14399529,1103,3771
14399530,622,1829
14399531,255,457
14399532,604,1432
14399533,187,334
14399534,352,764
14399535,2398,5614
14399536,1676,4721
14399537,377,655
14399538,2605,7048
14399539,0,0
14399540,771,2464
14399541,1826,5336
14399542,2062,6159
14399543,866,2173
14399544,3266,13625
14399545,2921,6712
